Hub ID,School Name,Location Coordinates,Latitude,Longitude
CH00084,Banksia Road Public School,-33.9068 | 151.05015,-33.9068,151.05015
CH00001,Fernbrooke State School,-27.65852 | 152.83998,-27.658520000000003,152.83998
CH00003,Riverview State School,-27.6046 | 152.84662,-27.6046,152.84662
CH00004,Staines Memorial College,-27.66902 | 152.84945,-27.66902,152.84945
CH00005,Marsden State School,-27.68563 | 153.10479,-27.68563,153.10478999999998
CH00006,Woodlinks State School,-27.6311 | 152.85243,-27.6311,152.85243
CH00007,St Francis College,-27.6917 | 153.08044,-27.6917,153.08043999999998
CH00008,St Paul's Primary School,-27.63495 | 153.10977,-27.63495,153.10977
CH00009,Woodridge North State School,-27.62656 | 153.10669,-27.626559999999998,153.10669
CH00010,Woodridge State School,-27.641627 | 153.105054,-27.641627000000003,153.105054
CH00011,Bert Oldfield Public School,-33.77847 | 150.92742,-33.77847,150.92741999999998
CH00012,Colyton Public School,-33.7751 | 150.81304,-33.7751,150.81304
CH00014,Bankstown Public School,-33.92096 | 151.03446,-33.92096,151.03446
CH00015,Bass Hill Public School,-33.89722 | 150.99251,-33.897220000000004,150.99251
CH00016,Chester Hill Public School,-33.88673 | 151.00322,-33.88673,151.00322
CH00017,Sacred Heart Catholic Primary School,-33.88829 | 150.97618,-33.888290000000005,150.97618
CH00018,Villawood East Public School,-33.89085 | 150.98536,-33.89085,150.98536000000001
CH00019,Yagoona Public School,-33.9101 | 151.02686,-33.9101,151.02686
CH00020,Granville Public School,-33.83437 | 151.00549,-33.83437,151.00548999999998
CH00021,Bossley Park Public School,-33.85796 | 150.88242,-33.85796,150.88242
CH00022,Fairfield West Public School,-33.86688 | 150.92583,-33.86688,150.92583
CH00023,Prairievale Public School,-33.86698 | 150.889435,-33.86698,150.88943500000002
CH00024,Smithfield Public School,-33.85165 | 150.93529,-33.85165,150.93528999999998
CH00026,Rydalmere Public School,-33.81456 | 151.04469,-33.81456,151.04469
CH00027,Westmead Public School,-33.81161 | 150.98625,-33.811609999999995,150.98625
CH00028,Toongabbie East Public School,-33.79734 | 150.97895,-33.797340000000005,150.97895
CH00029,Warrawong Public School,-34.48163 | 150.87755,-34.481629999999996,150.87755
CH00030,Wollongong Public School,-34.42286 | 150.89671,-34.42286,150.89671
CH00031,Wollongong West Public School,-34.42464 | 150.87149,-34.424640000000004,150.87149
CH00032,Marsden Road Public School,-33.9165 | 150.9145,-33.9165,150.9145
CH00033,Heckenberg Public School,-33.90873 | 150.89053,-33.90873,150.89053
CH00034,Hoxton Park Public School,-33.93224 | 150.84927,-33.93224,150.84927
CH00035,Deer Park North Primary School,-37.7557 | 144.77414,-37.7557,144.77414
CH00038,St Albans Heights Primary School,-37.74907 | 144.80984,-37.74907,144.80983999999998
CH00039,Stevensville Primary School,-37.73666 | 144.78126,-37.73666,144.78126
CH00040,Dandenong Primary School,-37.98829 | 145.21921,-37.98829,145.21921
CH00041,Dandenong South Primary School,-37.99874 | 145.21002,-37.998740000000005,145.21002
CH00042,Dandenong West Primary School,-37.98156 | 145.20034,-37.981559999999995,145.20033999999998
CH00043,Springvale Rise Primary School,-37.94006 | 145.15874,-37.940059999999995,145.15874
CH00044,St Anthony's Primary School,-37.97188 | 145.17326,-37.97188,145.17326
CH00045,Bethal Primary School,-37.65971 | 144.91844,-37.65971,144.91844
CH00046,Broadmeadows Valley Primary School,-37.68272 | 144.91627,-37.68272,144.91627
CH00047,Campbellfield Heights Primary School,-37.6741 | 144.96406,-37.6741,144.96406000000002
CH00048,Coolaroo South Primary School,-37.6621 | 144.93044,-37.6621,144.93044
CH00050,Dallas Brooks Community Primary School,-37.67025 | 144.94318,-37.67025,144.94318
CH00051,Good Samaritan Catholic Primary School,-37.623795 | 144.933244,-37.623795,144.933244
CH00052,Holy Child Primary School,-37.66594 | 144.93209,-37.66594,144.93209
CH00053,Meadow Heights Primary School,-37.64939 | 144.92358,-37.649390000000004,144.92358000000002
CH00054,Meadows Primary School,-37.68811 | 144.92919,-37.688109999999995,144.92918999999998
CH00056,Roxburgh Park Primary School,-37.63394 | 144.93228,-37.63394,144.93228
CH00057,Roxburgh Rise Primary School,-37.617115 | 144.923415,-37.617115000000005,144.92341499999998
CH00058,St Dominic's Primary School,-37.68488 | 144.92338,-37.68488,144.92338
CH00059,Sunbury Heights Primary School,-37.58071 | 144.70588,-37.580709999999996,144.70588
CH00060,Bell Park North Primary School,-38.10528 | 144.3359,-38.10528,144.3359
CH00061,Northern Bay College,-38.07929 | 144.35555,-38.07929,144.35555
CH00062,Gowrie Street Primary School,-36.36695 | 145.39753,-36.36695,145.39753000000002
CH00063,St Georges Road Primary School,-36.3898 | 145.40534,-36.3898,145.40534
CH00064,Wilmot Road Primary School,-36.39954 | 145.40608,-36.39954,145.40608
CH00065,Paralowie R-12 School,-34.75395 | 138.61726,-34.75395,138.61726000000002
CH00066,Para Vista Primary School,-34.83023 | 138.6636,-34.83023,138.6636
CH00069,Karrendi Primary School,-34.79059 | 138.61861,-34.79059,138.61861000000002
CH00070,Blair Athol North School,-34.85371 | 138.59901,-34.85371,138.59901000000002
CH00071,St Brigid's School,-34.86117 | 138.58806,-34.86117,138.58806
CH00080,St Albans Primary School,-37.73855 | 144.79549,-37.73855,144.79549
CH00081,Mount Ridley P-12 College,-37.57771 | 144.92114,-37.577709999999996,144.92113999999998
CH00083,St Augustine's Parish School,-34.76371 | 138.65046,-34.763709999999996,138.65046
CH00086,Wyndham Park Primary,-37.88388 | 144.67715,-37.88388,144.67715
CH00089,Holy Eucharist School,-37.75608 | 144.81251,-37.75608,144.81251
CH00090,Craigieburn South Primary School,-37.60892 | 144.93454,-37.60892,144.93454
CH00092,Salisbury Primary School,-34.76717 | 138.64723,-34.76717,138.64723
